iata,distance,total_km,count,nombre,continente,pais
SCU,8140,8140,1,Antonio Maceo International Airport,NA,CU
BEG,2696,8089,3,Belgrade Nikola Tesla Airport,EU,RS
BHX,1346,8076,6,Birmingham International Airport,EU,GB
TUN,1585,7925,5,Tunis Carthage International Airport,AF,TN
SDR,329,7900,24,Santander Airport,ES,ES
YUL,7811,7811,1,Montreal / Pierre Elliott Trudeau International Airport,NA,CA
CRL,1423,7116,5,Brussels South Charleroi Airport,EU,BE
BVA,1181,7086,6,Paris Beauvais TillÃ© Airport,EU,FR
RIX,3542,7084,2,Riga International Airport,EU,LV
ZAG,2259,6776,3,Zagreb Airport,EU,HR
STR,1688,6753,4,Stuttgart Airport,EU,DE
RBA,794,6356,8,Rabat-SalÃ© Airport,AF,MA
SBZ,3128,6257,2,Sibiu International Airport,EU,RO
CRA,3081,6161,2,Craiova Airport,EU,RO
BRS,1215,6075,5,Bristol Airport,EU,GB
BJZ,402,5634,14,Badajoz Airport,ES,ES
EIN,1573,4719,3,Eindhoven Airport,EU,NL
BRI,2261,4522,2,Bari Karol WojtyÅa Airport,EU,IT
ASW,4403,4403,1,Aswan International Airport,AF,EG
BSL,1465,4394,3,EuroAirport Basel-Mulhouse-Freiburg Airport,EU,FR
LXR,4324,4324,1,Luxor International Airport,AF,EG
LPL,1430,4290,3,Liverpool John Lennon Airport,EU,GB
CTA,2098,4195,2,Catania-Fontanarossa Airport,EU,IT
LTN,1316,3948,3,London Luton Airport,EU,GB
PMO,1869,3738,2,FalconeâBorsellino Airport,EU,IT
ISL,3601,3601,1,AtatÃ¼rk International Airport,AS,TR
LWO,3223,3223,1,Lviv International Airport,EU,UA
CAG,1409,2819,2,Cagliari Elmas Airport,EU,IT
XCR,1264,2527,2,ChÃ¢lons-Vatry Airport,EU,FR
RNS,868,1736,2,Rennes-Saint-Jacques Airport,EU,FR
LGG,1509,1509,1,LiÃ¨ge Airport,EU,BE
FEZ,743,1485,2,SaÃ¯ss Airport,AF,MA
ORN,630,1260,2,Es Senia Airport,AF,DZ
RJL,260,781,3,LogroÃ±o-Agoncillo Airport,ES,ES
DOH,NaN,NaN,1,Hamad International Airport,AS,QA
ZAZ,310,310,1,Zaragoza Air Base,ES,ES
VLL,198,198,1,Valladolid Airport,ES,ES
