iata,distance,total_km,count,nombre,continente,pais,kgFuel,kgCO2PP,distancia_calculadora,kgFuelPorAvion,kgFuelTotales,km_volados_calculadora
LXR,4324,4324,1,Luxor International Airport,AF,EG,14947.9,252.3,3722,14947.9,14947.9,3722
LPL,1430,4290,3,Liverpool John Lennon Airport,EU,GB,6570.6,143,1429,6570.6,19711.800000000003,4287
CTA,2098,4195,2,Catania-Fontanarossa Airport,EU,IT,7352.7,148.1,1638,7352.7,14705.4,3276
LTN,1316,3948,3,London Luton Airport,EU,GB,6083.3,133.5,1287,6083.3,18249.9,3861
PMO,1869,3738,2,FalconeâBorsellino Airport,EU,IT,6624.8,130.9,1452,6624.8,13249.6,2904
ISL,3601,3601,1,AtatÃ¼rk International Airport,AS,TR,18648.4,202.2,2699,18648.4,18648.4,2699
LWO,3223,3223,1,Lviv International Airport,EU,UA,9435.9,164.2,2374,9435.9,9435.9,2374
CAG,1409,2819,2,Cagliari Elmas Airport,EU,IT,5440.3,108.7,1083,5440.3,10880.6,2166
XCR,1264,2527,2,ChÃ¢lons-Vatry Airport,EU,FR,3751.5,177.5,1104,3751.5,7503,2208
RNS,868,1736,2,Rennes-Saint-Jacques Airport,EU,FR,4689.7,95.6,855,4689.7,9379.4,1710
LGG,1509,1509,1,LiÃ¨ge Airport,EU,BE,,,,,,
FEZ,743,1485,2,SaÃ¯ss Airport,AF,MA,4292.1,79.7,739,4292.1,8584.2,1478
ORN,630,1260,2,Es Senia Airport,AF,DZ,2635.5,118.9,599,2635.5,5271,1198
RJL,260,781,3,LogroÃ±o-Agoncillo Airport,ES,ES,983.1,69.8,241,983.1,2949.3,723
DOH,NaN,NaN,1,Hamad International Airport,AS,QA,37603.3,273.4,5327,37603.3,37603.3,5327
ZAZ,310,310,1,Zaragoza Air Base,ES,ES,,,,,,
VLL,198,198,1,Valladolid Airport,ES,ES,,,,,,
